Model,GPCR,AgonistRank,Class,unseen
AF2 LIS (no templates),oprk_human,4,Class A,Unseen
AF2 LIS (no templates),glp2r_human,1,Class B1,Seen
AF2 LIS (no templates),v2r_human,1,Class A,Seen
AF2 LIS (no templates),npy5r_human,1,Class A,Unseen
AF2 LIS (no templates),glp1r_human,1,Class B1,Seen
AF2 LIS (no templates),gipr_human,1,Class B1,Unseen
AF2 LIS (no templates),agtr2_human,1,Class A,Seen
AF2 LIS (no templates),npy4r_human,1,Class A,Unseen
AF2 LIS (no templates),ssr3_human,1,Class A,Unseen
AF2 LIS (no templates),mtlr_human,1,Class A,Unseen
AF2 LIS (no templates),calrl_human,1,Class B1,Seen
AF2 LIS (no templates),ccr2_human,2,Class A,Unseen
AF2 LIS (no templates),vipr1_human,1,Class B1,Seen
AF2 LIS (no templates),nmur1_human,1,Class A,Unseen
AF2 LIS (no templates),ccr4_human,1,Class A,Unseen
AF2 LIS (no templates),galr3_human,1,Class A,Unseen
AF2 LIS (no templates),kissr_human,1,Class A,Unseen
AF2 LIS (no templates),ccr1_human,2,Class A,Unseen
AF2 LIS (no templates),ntr2_human,2,Class A,Unseen
AF2 LIS (no templates),cxcr4_human,1,Class A,Unseen
AF2 LIS (no templates),cx3c1_human,1,Class A,Unseen
AF2 LIS (no templates),cckar_human,1,Class A,Seen
AF2 LIS (no templates),pth2r_human,1,Class B1,Seen
AF2 LIS (no templates),pkr1_human,1,Class A,Unseen
AF2 LIS (no templates),sctr_human,5,Class B1,Seen
AF2 LIS (no templates),pkr2_human,1,Class A,Unseen
AF2 LIS (no templates),calcr_human,1,Class B1,Unseen
AF2 LIS (no templates),mchr1_human,1,Class A,Unseen
AF2 LIS (no templates),ccr6_human,2,Class A,Seen
AF2 LIS (no templates),pacr_human,1,Class B1,Seen
AF2 LIS (no templates),ccr9_human,1,Class A,Unseen
AF2 LIS (no templates),nk3r_human,1,Class A,Unseen
AF2 LIS (no templates),ackr1_human,2,Class A,Unseen
AF2 LIS (no templates),vipr2_human,2,Class B1,Unseen
AF2 LIS (no templates),ackr3_human,1,Class A,Unseen
AF2 LIS (no templates),npbw1_human,1,Class A,Unseen
AF2 LIS (no templates),ssr4_human,1,Class A,Unseen
